fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2026-04-27,8A,WELW8,LIST3,NA,NA,NA,NA
2026-04-27,8A,KIMP7,LETC3,NA,NA,NA,NA
2026-05-04,1,WELW2,ELLI1,NA,NA,NA,NA
2026-05-04,1,KNEB1,PIRT1,NA,NA,NA,NA
2026-05-04,1,CODI1,WELW1,NA,NA,NA,NA
2026-05-04,1,HITC1,ORCH1,NA,NA,NA,NA
2026-05-04,2,GOSLG,CODI2,NA,NA,NA,NA
2026-05-04,2,ASTO1,WHEA1,NA,NA,NA,NA
2026-05-04,2,ELLI2,KIMP1,NA,NA,NA,NA
2026-05-04,2,WELW3,LETC1,NA,NA,NA,NA
2026-05-04,3A,KNEB3,HODD1,NA,NA,NA,NA
2026-05-04,3A,DIGS2,DELL1,NA,NA,NA,NA
2026-05-04,3A,LIST1,ODYS1,NA,NA,NA,NA
2026-05-04,3A,WELW4,KIMP2,NA,NA,NA,NA
2026-05-04,3B,KNEB2,CODI3,NA,NA,NA,NA
2026-05-04,3B,LEGE1,DIGS1,NA,NA,NA,NA
2026-05-04,3B,WHEA2,HITC2,NA,NA,NA,NA
2026-05-04,3B,ORCH2,ODYS2,NA,NA,NA,NA
2026-05-04,4A,HITC4,WHEA3,NA,NA,NA,NA
2026-05-04,4A,LEGE2,CODI4,NA,NA,NA,NA
2026-05-04,4A,ODYS4,PIRT2,NA,NA,NA,NA
2026-05-04,4A,WEST1,WATT2,NA,NA,NA,NA
2026-05-04,4B,WATT1,ODYS3,NA,NA,NA,NA
2026-05-04,4B,ASHW1,DIGS3,NA,NA,NA,NA
2026-05-04,4B,ORCH3,ELLI3,NA,NA,NA,NA
2026-05-04,4B,KIMP3,HITC3,NA,NA,NA,NA
2026-05-04,5A,ODYS5,LIST2,NA,NA,NA,NA
2026-05-04,5A,PIRT3,ST M1,NA,NA,NA,NA
2026-05-04,5A,DATCH,DELL2,NA,NA,NA,NA
