division,team,played,sets_won,games_won
1,ORCHARD 1,14,33,348
1,WELWYN 1,14,27,311
1,CODICOTE 1,14,24,298
1,HITCHIN 1,14,19,251
1,WELWYN 2,14,18,245
1,WHEATHAMPSTEAD 1,14,17,244
1,PIRTON 1,14,16,224
1,ELLISWICK 1,14,13,226
2,WELWYN 3,14,28,310
2,KIMPTON 1,14,26,302
2,LETCHWORTH 1,14,24,294
2,KNEBWORTH 1,14,20,275
2,CODICOTE 2,14,19,257
2,LEGENDS 1,14,18,247
2,DELLCOTT 1,14,17,256
2,CODICOTE 3,14,16,243
3A,HITCHIN 2,14,30,309
3A,ODYSSEY 1,14,26,285
3A,GOSLING,14,21,295
3A,ASTON 1,14,21,278
3A,DIGSWELL 2,14,19,260
3A,CODICOTE 4,14,19,257
3A,WHEATHAMPSTEAD 2,14,18,250
3A,ORCHARD 2,14,14,248
3B,KIMPTON 2,14,30,323
3B,DIGSWELL 1,14,25,285
3B,ELLISWICK 2,14,23,280
3B,ST MARG 1,14,21,264
3B,PIRTON 2,14,19,246
3B,HITCHIN 3,14,18,257
3B,WHEATHAMPSTEAD 3,14,17,262
3B,WATTON 1,14,13,229
4A,ODYSSEY 2,14,35,359
4A,ELLISWICK 3,14,25,282
4A,LEGENDS 2,13,23,270
4A,DATCHWORTH,14,19,261
4A,KNEBWORTH 3,13,19,255
4A,LETCHWORTH 2,14,17,241
4A,KIMPTON 3,14,14,252
4A,CODICOTE 5,14,13,225
4B,WELWYN 4,13,27,307
4B,KNEBWORTH 2,14,27,303
4B,ASHWELL 1,14,26,301
4B,DIGSWELL 3,14,20,269
4B,DELLCOTT 2,14,18,267
4B,WYMONDLEY 1,14,17,243
4B,ORCHARD 3,13,16,232
4B,ST MARG 2,12,10,165
5A,WATTON 2,14,30,330
5A,WELWYN 5,13,26,291
5A,KIMPTON 4,14,25,278
5A,ODYSSEY 3,13,23,292
5A,HITCHIN 4,14,20,259
5A,CODICOTE 6,14,16,261
5A,LEGENDS 3,14,15,233
5A,WHEATHAMPSTEAD 5,14,10,201
5B,LISTER 1,14,35,359
5B,HODDESDON,14,33,318
5B,WATTON 3,14,21,284
5B,ODYSSEY 4,14,19,280
5B,ORCHARD 4,14,18,242
5B,WELWYN 6,14,17,258
5B,WHEATHAMPSTEAD 4,14,13,223
5B,DELLCOTT 3,14,12,219
6A,HITCHIN 5,14,27,284
6A,ODYSSEY 5,14,26,295
6A,ST PAULS,14,25,311
6A,WATTON 4,14,25,291
6A,LEGENDS 4,14,23,266
6A,KNEBWORTH 4,14,18,269
6A,DIGSWELL 4,14,15,243
6A,KIMPTON 6,14,8,205
6B,PIRTON 3,14,33,317
6B,WESTON,14,30,342
6B,ASTON 2,14,30,339
6B,ASHWELL 2,14,21,258
6B,CODICOTE 7,14,18,268
6B,KIMPTON 5,14,15,256
6B,KNEBWORTH 5,14,10,196
6B,LETCHWORTH 3,14,10,195
7A,LISTER 2,14,33,364
7A,ELLISWICK 4,14,33,348
7A,CODICOTE 8,14,24,282
7A,ORCHARD 5,14,23,295
7A,WYMONDLEY 2,14,23,291
7A,DELLCOTT 5,14,15,227
7A,ASHWELL 3,14,11,213
7A,KNEBWORTH 6,14,6,164
7B,TEWIN 1,14,34,376
7B,WATTON 5,14,28,307
7B,ST MARG 3,14,26,292
7B,DELLCOTT 4,14,24,274
7B,WELWYN 7,14,18,251
7B,WHEATHAMPSTEAD 6,14,15,247
7B,HITCHIN 6,14,13,220
7B,CODICOTE 9,14,8,179
8A,ASTON 3,14,39,383
8A,ORCHARD 6,14,25,284
8A,TEWIN 2,14,22,282
8A,LISTER 3,14,19,293
8A,WELWYN 8,14,18,261
8A,LEGENDS 5,14,17,243
8A,KIMPTON 7,14,17,232
8A,ASTON 4,14,11,206
