fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2025-05-05,4B,ASHWELL 1,LISTER 1,0,16,3,23
2025-05-19,4B,ASHWELL 1,WELWYN 5,3,33,0,6
2025-06-09,4B,ASHWELL 1,DIGSWELL 3,1,14,2,25
2025-06-16,4B,ASHWELL 1,WATTON 1,0,9,3,30
2025-06-30,4B,ASHWELL 1,WHEATHAMPSTEAD 2,1,15,2,24
2025-07-14,4B,ASHWELL 1,DELLCOTT 2,2,22,1,17
2025-07-21,4B,ASHWELL 1,KIMPTON 3,2,22,1,17
2025-04-28,6B,ASHWELL 2,LISTER 2,2,22,1,17
2025-05-12,6B,ASHWELL 2,LEGENDS 4,1,15,2,24
2025-05-19,6B,ASHWELL 2,CODICOTE 7,2,25,1,14
2025-06-09,6B,ASHWELL 2,WATTON 5,3,25,0,14
2025-06-23,6B,ASHWELL 2,ST MARG 3,2,19,1,20
2025-07-14,6B,ASHWELL 2,KIMPTON 5,3,25,0,14
2025-07-21,6B,ASHWELL 2,WHEATHAMPSTEAD 5,2,20,1,19
2025-04-21,8A,ASHWELL 3,ODYSSEY 6,2,22,1,17
2025-05-05,8A,ASHWELL 3,ASTON 4,2,24,1,15
2025-05-26,8A,ASHWELL 3,DELLCOTT 6,0,10,3,29
2025-06-02,8A,ASHWELL 3,WESTON 2,3,24,0,15
2025-06-16,8A,ASHWELL 3,HITCHIN 6,1,9,2,30
2025-06-30,8A,ASHWELL 3,KNEBWORTH 6,3,27,0,12
2025-07-07,8A,ASHWELL 3,HODDESDON 2,0,7,3,32
2025-04-21,3A,ASTON 1,GOSLING,2,22,1,17
2025-05-05,3A,ASTON 1,CODICOTE 4,3,32,0,7
2025-05-26,3A,ASTON 1,WELWYN 4,2,21,1,18
2025-06-02,3A,ASTON 1,ELLISWICK 3,2,26,1,13
2025-06-16,3A,ASTON 1,LEGENDS 1,3,32,0,7
2025-06-30,3A,ASTON 1,DELLCOTT 1,3,25,0,14
2025-07-07,3A,ASTON 1,DIGSWELL 2,2,23,1,16
2025-04-21,5A,ASTON 2,PIRTON 3,0,11,3,28
2025-04-28,5A,ASTON 2,ODYSSEY 3,1,15,2,24
2025-05-12,5A,ASTON 2,CODICOTE 6,3,33,0,6
2025-05-26,5A,ASTON 2,ST MARG 2,1,16,2,23
2025-06-02,5A,ASTON 2,ORCHARD 3,0,12,3,27
2025-06-23,5A,ASTON 2,HITCHIN 4,0,8,3,31
2025-07-07,5A,ASTON 2,ODYSSEY 5,3,24,0,15
2025-05-05,7A,ASTON 3,KNEBWORTH 5,1,20,2,19
2025-05-19,7A,ASTON 3,ORCHARD 5,3,32,0,7
2025-06-09,7A,ASTON 3,WYMONDLEY,3,24,0,15
2025-06-16,7A,ASTON 3,KIMPTON 6,3,27,0,12
2025-06-30,7A,ASTON 3,WELWYN 8,2,26,1,13
2025-07-14,7A,ASTON 3,DELLCOTT 5,2,23,1,16
2025-07-21,7A,ASTON 3,CODICOTE 8,3,29,0,10
2025-04-28,8A,ASTON 4,HODDESDON 2,0,4,3,35
2025-05-12,8A,ASTON 4,DELLCOTT 6,1,19,2,20
2025-05-19,8A,ASTON 4,HITCHIN 6,0,10,3,29
2025-06-09,8A,ASTON 4,WESTON 2,2,19,1,20
2025-06-23,8A,ASTON 4,ASHWELL 3,2,22,1,17
2025-07-14,8A,ASTON 4,KNEBWORTH 6,2,22,1,17
2025-07-21,8A,ASTON 4,ODYSSEY 6,0,12,3,27
2025-04-21,1,CODICOTE 1,WELWYN 1,0,15,3,24
2025-05-05,1,CODICOTE 1,HITCHIN 1,1,18,2,21
2025-05-26,1,CODICOTE 1,KIMPTON 1,2,26,1,13
2025-06-02,1,CODICOTE 1,LETCHWORTH 1,2,22,1,17
2025-06-16,1,CODICOTE 1,WELWYN 2,3,24,0,15
2025-06-30,1,CODICOTE 1,ORCHARD 1,0,17,3,22
2025-07-07,1,CODICOTE 1,KNEBWORTH 1,3,22,0,17
2025-04-21,2,CODICOTE 2,PIRTON 1,0,11,3,28
2025-05-05,2,CODICOTE 2,WELWYN 3,1,20,2,19
2025-05-19,2,CODICOTE 2,KIMPTON 2,3,27,0,12
2025-06-02,2,CODICOTE 2,HITCHIN 2,3,27,0,12
2025-06-16,2,CODICOTE 2,WHEATHAMPSTEAD 1,2,21,1,18
2025-06-30,2,CODICOTE 2,ELLISWICK 1,2,15,1,24
2025-07-14,2,CODICOTE 2,ODYSSEY 1,1,16,2,23
2025-04-28,3B,CODICOTE 3,HITCHIN 3,3,28,0,11
2025-05-12,3B,CODICOTE 3,KNEBWORTH 2,1,19,2,20
2025-05-26,3B,CODICOTE 3,ODYSSEY 2,2,22,1,17
2025-06-09,3B,CODICOTE 3,PIRTON 2,2,26,1,13
2025-06-23,3B,CODICOTE 3,DIGSWELL 1,0,14,3,25
2025-07-07,3B,CODICOTE 3,ST MARG 1,2,22,1,17
2025-07-21,3B,CODICOTE 3,ELLISWICK 2,3,22,0,17
2025-04-28,3A,CODICOTE 4,DIGSWELL 2,0,15,3,24
2025-05-12,3A,CODICOTE 4,WELWYN 4,0,11,3,28
2025-05-19,3A,CODICOTE 4,LEGENDS 1,0,12,3,27
2025-06-09,3A,CODICOTE 4,ELLISWICK 3,1,19,2,20
2025-06-23,3A,CODICOTE 4,ASTON 1,0,10,3,29
2025-07-14,3A,CODICOTE 4,DELLCOTT 1,0,10,3,29
2025-07-21,3A,CODICOTE 4,GOSLING,0,9,3,30
2025-04-28,5B,CODICOTE 5,ORCHARD 4,2,19,1,20
2025-05-12,5B,CODICOTE 5,WESTON 1,1,14,2,25
2025-05-19,5B,CODICOTE 5,KIMPTON 4,3,30,0,9
2025-06-09,5B,CODICOTE 5,ODYSSEY 4,2,20,1,19
2025-06-23,5B,CODICOTE 5,WELWYN 6,2,23,1,16
2025-07-14,5B,CODICOTE 5,HITCHIN 5,3,34,0,5
2025-07-21,5B,CODICOTE 5,WATTON 3,2,23,1,16
2025-04-21,5A,CODICOTE 6,ODYSSEY 5,1,17,2,22
2025-05-05,5A,CODICOTE 6,ST MARG 2,1,17,2,22
2025-05-26,5A,CODICOTE 6,PIRTON 3,2,25,1,14
2025-06-02,5A,CODICOTE 6,ODYSSEY 3,0,5,3,34
2025-06-16,5A,CODICOTE 6,ORCHARD 3,0,8,3,31
2025-06-30,5A,CODICOTE 6,ASTON 2,2,18,1,21
2025-07-07,5A,CODICOTE 6,HITCHIN 4,0,9,3,30
2025-04-28,6B,CODICOTE 7,ST MARG 3,0,12,3,27
2025-05-12,6B,CODICOTE 7,WATTON 5,2,26,1,13
2025-05-26,6B,CODICOTE 7,WHEATHAMPSTEAD 5,2,22,1,17
