division,team,played,sets_won,games_won
1,WELWYN 1,14,40,386
1,ORCHARD 1,14,35,349
1,KNEBWORTH 1,14,22,288
1,CODICOTE 1,14,21,281
1,WELWYN 2,14,16,248
1,HITCHIN 1,14,16,238
1,LETCHWORTH 1,14,12,215
1,KIMPTON 1,14,6,179
2,PIRTON 1,14,28,314
2,ELLISWICK 1,14,27,306
2,CODICOTE 2,14,23,272
2,WELWYN 3,14,22,273
2,WHEATHAMPSTEAD 1,14,22,266
2,ODYSSEY 1,14,20,281
2,HITCHIN 2,14,13,214
2,KIMPTON 2,14,11,214
3A,ASTON 1,14,32,354
3A,GOSLING,14,26,310
3A,WELWYN 4,14,25,303
3A,DELLCOTT 1,14,25,285
3A,LEGENDS 1,14,24,274
3A,DIGSWELL 2,14,18,241
3A,ELLISWICK 3,14,15,242
3A,CODICOTE 4,14,3,175
3B,ELLISWICK 2,14,28,315
3B,ODYSSEY 2,14,25,305
3B,DIGSWELL 1,14,25,268
3B,CODICOTE 3,14,23,287
3B,KNEBWORTH 2,14,21,270
3B,ST MARG 1,14,18,252
3B,PIRTON 2,14,16,249
3B,HITCHIN 3,14,12,238
4A,ORCHARD 2,14,31,329
4A,HODDESDON 1,14,29,315
4A,KNEBWORTH 3,14,25,296
4A,WATTON 2,14,23,268
4A,WHEATHAMPSTEAD 3,14,19,246
4A,LEGENDS 2,14,18,276
4A,LETCHWORTH 2,14,16,238
4A,DATCHWORTH,14,6,181
4B,LISTER 1,14,32,365
4B,WHEATHAMPSTEAD 2,14,30,309
4B,WATTON 1,14,25,295
4B,DIGSWELL 3,14,22,277
4B,KIMPTON 3,14,20,275
4B,ASHWELL 1,14,13,229
4B,DELLCOTT 2,14,13,218
4B,WELWYN 5,14,13,216
5A,ORCHARD 3,14,34,361
5A,ODYSSEY 3,14,34,350
5A,HITCHIN 4,14,27,319
5A,ST MARG 2,14,21,271
5A,ODYSSEY 5,14,15,260
5A,PIRTON 3,14,15,208
5A,ASTON 2,14,12,223
5A,CODICOTE 6,14,10,192
5B,ODYSSEY 4,14,32,331
5B,WESTON 1,14,26,312
5B,WATTON 3,14,26,310
5B,CODICOTE 5,14,24,284
5B,KIMPTON 4,14,18,253
5B,ORCHARD 4,14,17,261
5B,WELWYN 6,14,16,229
5B,HITCHIN 5,14,9,204
6A,WHEATHAMPSTEAD 4,14,28,320
6A,WATTON 4,14,26,319
6A,DELLCOTT 3,14,21,299
6A,LEGENDS 3,14,21,280
6A,ELLISWICK 4,14,20,267
6A,TEWIN 1,14,19,232
6A,KNEBWORTH 4,14,17,237
6A,ST PAULS,14,16,224
6B,ASHWELL 2,14,27,301
6B,WHEATHAMPSTEAD 5,14,26,300
6B,LISTER 2,14,25,315
6B,ST MARG 3,14,21,288
6B,KIMPTON 5,14,19,273
6B,CODICOTE 7,14,19,261
6B,WATTON 5,14,16,232
6B,LEGENDS 4,14,15,214
7A,WYMONDLEY,14,30,347
7A,ASTON 3,14,28,320
7A,ORCHARD 5,14,27,296
7A,KNEBWORTH 5,14,26,311
7A,DELLCOTT 5,14,23,285
7A,KIMPTON 6,14,15,230
7A,WELWYN 8,14,12,207
7A,CODICOTE 8,14,7,175
7B,DELLCOTT 4,14,34,340
7B,DIGSWELL 4,14,28,332
7B,TEWIN 2,14,24,292
7B,WELWYN 7,14,22,262
7B,ORCHARD 6,14,19,261
7B,WHEATHAMPSTEAD 6,14,17,255
7B,LETCHWORTH 3,14,14,249
7B,KIMPTON 7,14,10,193
8A,HODDESDON 2,14,40,437
8A,DELLCOTT 6,14,29,321
8A,ODYSSEY 6,14,22,269
8A,HITCHIN 6,14,20,267
8A,WESTON 2,14,17,247
8A,ASHWELL 3,14,17,221
8A,ASTON 4,14,12,203
8A,KNEBWORTH 6,14,9,181
