fixture_date,division,home_team,away_team,home_sets,home_games,away_sets,away_games
2021-06-14,1,WESTON 1,HITCHIN 1,3,25,0,14
2021-06-14,1,WELWYN 1,WHEATHAMPSTEAD 1,1,19,2,20
2021-06-14,1,PIRTON 1,ELLISWICK 1,2,21,1,18
2021-06-14,1,ORCHARD 1,CODICOTE 1,1,22,2,17
2021-06-14,2,WELWYN 2,KNEBWORTH 1,2,20,1,19
2021-06-14,2,CODICOTE 2,LETCHWORTH 1,1,14,2,25
2021-06-14,2,ELLISWICK 2,ST MARG 1,2,22,1,17
2021-06-14,2,KIMPTON 1,HBSTC 1,3,27,0,12
2021-06-14,3A,CODICOTE 3,WELWYN 3,0,15,3,24
2021-06-14,3A,HITCHIN 2,WATTON 2,2,27,1,10
2021-06-14,3A,ORCHARD 2,WHEATHAMPSTEAD 3,1,19,2,20
2021-06-14,3A,DIGSWELL 2,KIMPTON 3,3,34,0,5
2021-06-14,3B,WATTON 1,DIGSWELL 1,0,15,3,24
2021-06-14,3B,LEGENDS 1,KIMPTON 2,2,25,1,14
2021-06-14,3B,CODICOTE 4,WHEATHAMPSTEAD 2,0,10,3,29
2021-06-14,3B,DELLCOTT 1,ST PAULS 1,3,30,0,9
2021-06-14,4A,ELLISWICK 3,WYMONDLEY 1,3,24,0,15
2021-06-14,4A,HBSTC 3,ODYSSEY 1,1,15,2,24
2021-06-14,4A,ST MARG 2,WESTON 2,2,23,1,16
2021-06-14,4A,ASTON 1,CODICOTE 5,3,28,0,11
2021-06-14,4B,LEGENDS 2,KIMPTON 4,3,28,0,11
2021-06-14,4B,KNEBWORTH 2,ASHWELL 1,3,30,0,9
2021-06-14,4B,HBSTC 2,WATTON 3,3,36,0,3
2021-06-14,4B,ODYSSEY 2,PIRTON 2,2,18,1,21
2021-06-14,5A,HITCHIN 3,DATCHWORTH 2,2,26,1,13
2021-06-14,5A,KNEBWORTH 3,ORCHARD 3,0,15,3,24
2021-06-14,5A,WHEATHAMPSTEAD 4,WELWYN 4,2,26,1,13
2021-06-14,5A,ST MARG 3,ODYSSEY 3,3,25,0,14
2021-06-14,5B,DIGSWELL 3,DATCHWORTH 1,3,27,0,12
2021-06-14,5B,KIMPTON 5,ST MARG 4,0,12,3,27
