division,team,played,sets_won,games_won
1,HITCHIN 1,7,11,152
1,PIRTON 1,7,10,139
1,ORCHARD 1,6,10,132
1,ELLISWICK 1,7,10,125
1,WHEATHAMPSTEAD 1,6,9,127
1,CODICOTE 1,7,9,118
1,WESTON 1,6,9,80
1,WELWYN 1,6,8,103
2,ELLISWICK 2,7,13,143
2,WELWYN 2,7,13,140
2,KIMPTON 1,6,12,120
2,LETCHWORTH 1,6,11,133
2,KNEBWORTH 1,7,9,134
2,HBSTC 1,5,8,103
2,CODICOTE 2,6,6,99
2,ST MARG 1,6,3,103
3A,DIGSWELL 2,7,16,169
3A,ORCHARD 2,7,15,164
3A,WELWYN 3,7,15,159
3A,HITCHIN 2,7,9,145
3A,WHEATHAMPSTEAD 3,6,9,112
3A,CODICOTE 3,7,7,118
3A,KIMPTON 3,7,7,99
3A,WATTON 2,6,3,85
3B,WHEATHAMPSTEAD 2,7,17,174
3B,KIMPTON 2,7,13,147
3B,DIGSWELL 1,6,13,135
3B,LEGENDS 1,6,9,127
3B,WATTON 1,7,7,122
3B,ST PAULS 1,7,6,98
3B,CODICOTE 4,5,6,84
3B,DELLCOTT 1,5,4,88
4A,ASTON 1,7,16,166
4A,ODYSSEY 1,7,14,157
4A,ELLISWICK 3,4,8,95
4A,WYMONDLEY 1,5,8,91
4A,ST MARG 2,4,6,81
4A,HBSTC 3,6,5,87
4A,CODICOTE 5,5,4,86
4A,WESTON 2,6,4,74
4B,KNEBWORTH 2,7,18,181
4B,LEGENDS 2,7,17,169
4B,ODYSSEY 2,7,12,138
4B,HBSTC 2,6,9,123
4B,ASHWELL 1,6,7,96
4B,PIRTON 2,5,5,91
4B,KIMPTON 4,4,2,61
4B,WATTON 3,6,1,57
5A,ORCHARD 3,7,15,157
5A,HITCHIN 3,7,12,146
5A,WHEATHAMPSTEAD 4,6,11,136
5A,DATCHWORTH 2,7,10,125
5A,KNEBWORTH 3,6,9,109
5A,WELWYN 4,7,8,124
5A,ODYSSEY 3,7,6,117
5A,ST MARG 3,5,6,81
5B,GOSLING,6,15,171
5B,DIGSWELL 3,7,15,169
5B,TEWIN 1,7,10,126
5B,ST MARG 4,6,10,106
5B,WESTON 3,5,7,90
5B,DATCHWORTH 1,5,6,78
5B,WATTON 4,6,5,99
5B,KIMPTON 5,6,2,59
6A,KNEBWORTH 4,6,13,148
6A,WELWYN 5,6,13,139
6A,WELWYN 7,6,12,135
6A,LEGENDS 3,6,7,101
6A,HITCHIN 4,6,7,101
6A,PIRTON 3,6,6,96
6A,ORCHARD 5,6,5,99
6B,TEWIN 2,7,17,188
6B,ASTON 2,7,17,180
6B,DIGSWELL 4,7,14,169
6B,WELWYN 6,7,13,162
6B,ORCHARD 4,7,12,137
6B,KIMPTON 6,6,4,88
6B,ST PAULS 2,7,4,85
6B,KNEBWORTH 5,6,0,44
7A,WHEATHAMPSTEAD 5,6,13,138
7A,CODICOTE 6,6,13,133
7A,ASHWELL 2,6,9,124
7A,ASTON 3,6,9,116
7A,DELLCOTT 2,6,7,106
7A,KNEBWORTH 7,6,7,104
7A,WYMONDLEY 3,6,5,98
7B,WYMONDLEY 2,5,11,122
7B,LETCHWORTH 2,5,10,121
7B,DIGSWELL 5,5,8,103
7B,WATTON 5,5,8,94
7B,ORCHARD 6,4,4,63
7B,KNEBWORTH 6,4,1,43
7B,ASHWELL,0,0,0
8A,TEWIN 3,6,12,125
8A,WELWYN 8,5,10,118
8A,ODYSSEY 4,5,10,108
8A,WHEATHAMPSTEAD 6,6,9,115
8A,ASTON 4,5,7,97
8A,ASHWELL 4,6,5,101
8A,CODICOTE 7,5,4,77
